P1_MUNICIPIO,conteo,porcentaje
713,183,0.21502596761685427
13,182,0.21385096232933049
417,181,0.21267595704180667
836,181,0.21267595704180667
513,179,0.2103259464667591
396,177,0.20797593589171154
99,177,0.20797593589171154
290,177,0.20797593589171154
410,177,0.20797593589171154
711,176,0.20680093060418772
147,174,0.20445092002914014
466,174,0.20445092002914014
838,171,0.20092590416656875
678,171,0.20092590416656875
161,168,0.19740088830399738
77,164,0.1927008671539022
10,163,0.1915258618663784
861,162,0.1903508565788546
256,160,0.188000846003807
306,160,0.188000846003807
429,159,0.18682584071628322
585,156,0.18330082485371185
563,156,0.18330082485371185
269,155,0.18212581956618804
385,152,0.17860080370361667
686,151,0.17742579841609288
689,150,0.1762507931285691
683,148,0.17390078255352148
837,148,0.17390078255352148
899,147,0.1727257772659977
383,145,0.17037576669095011
673,145,0.17037576669095011
405,143,0.1680257561159025
20,141,0.16567574554085496
325,140,0.16450074025333114
653,140,0.16450074025333114
518,139,0.16332573496580735
834,139,0.16332573496580735
248,138,0.16215072967828356
679,135,0.15862571381571217
247,135,0.15862571381571217
675,132,0.1551006979531408
541,132,0.1551006979531408
425,131,0.15392569266561698
540,131,0.15392569266561698
407,129,0.15157568209056943
317,127,0.14922567151552182
591,126,0.14805066622799803
125,126,0.14805066622799803
687,126,0.14805066622799803
757,125,0.14687566094047422
233,125,0.14687566094047422
288,124,0.14570065565295043
235,124,0.14570065565295043
270,123,0.14452565036542664
436,122,0.14335064507790285
286,122,0.14335064507790285
183,120,0.14100063450285527
148,120,0.14100063450285527
676,120,0.14100063450285527
264,120,0.14100063450285527
168,120,0.14100063450285527
154,119,0.13982562921533145
743,119,0.13982562921533145
580,117,0.1374756186402839
690,117,0.1374756186402839
657,115,0.1351256080652363
855,114,0.1339506027777125
50,114,0.1339506027777125
279,114,0.1339506027777125
450,113,0.1327755974901887
710,111,0.1304255869151411
749,110,0.12925058162761732
442,110,0.12925058162761732
616,110,0.12925058162761732
302,110,0.12925058162761732
126,109,0.12807557634009353
745,109,0.12807557634009353
94,109,0.12807557634009353
360,108,0.12690057105256974
206,108,0.12690057105256974
647,107,0.12572556576504593
418,107,0.12572556576504593
824,107,0.12572556576504593
655,106,0.12455056047752215
361,106,0.12455056047752215
167,106,0.12455056047752215
111,106,0.12455056047752215
265,106,0.12455056047752215
107,106,0.12455056047752215
575,106,0.12455056047752215
491,105,0.12337555518999836
245,105,0.12337555518999836
800,105,0.12337555518999836
610,104,0.12220054990247456
287,104,0.12220054990247456
569,104,0.12220054990247456
464,104,0.12220054990247456
35,104,0.12220054990247456
532,104,0.12220054990247456
219,103,0.12102554461495077
785,103,0.12102554461495077
621,103,0.12102554461495077
646,103,0.12102554461495077
760,102,0.11985053932742698
283,102,0.11985053932742698
401,102,0.11985053932742698
350,102,0.11985053932742698
443,102,0.11985053932742698
550,102,0.11985053932742698
685,102,0.11985053932742698
36,101,0.11867553403990318
887,100,0.11750052875237939
771,100,0.11750052875237939
124,100,0.11750052875237939
574,100,0.11750052875237939
809,100,0.11750052875237939
517,100,0.11750052875237939
296,100,0.11750052875237939
688,100,0.11750052875237939
668,100,0.11750052875237939
255,100,0.11750052875237939
220,100,0.11750052875237939
787,99,0.1163255234648556
228,99,0.1163255234648556
455,99,0.1163255234648556
178,99,0.1163255234648556
315,98,0.1151505181773318
139,98,0.1151505181773318
42,98,0.1151505181773318
399,97,0.113975512889808
16,97,0.113975512889808
43,96,0.11280050760228422
692,96,0.11280050760228422
58,96,0.11280050760228422
141,95,0.11162550231476041
263,95,0.11162550231476041
845,94,0.11045049702723662
230,91,0.10692548116466524
225,90,0.10575047587714145
667,90,0.10575047587714145
650,90,0.10575047587714145
486,90,0.10575047587714145
261,88,0.10340046530209386
892,87,0.10222546001457007
172,87,0.10222546001457007
113,86,0.10105045472704627
490,81,0.0951754282894273
777,80,0.0940004230019035
79,80,0.0940004230019035
223,79,0.09282541771437972
456,72,0.08460038070171316
495,70,0.08225037012666557
227,69,0.08107536483914178
421,66,0.0775503489765704
